Country,Happiness_score,GDP_pc,Life_expectancy,Freedom,Generosity,Trust
Paraguay,5.493000031,0.932537317,0.579250693,0.473507792,0.224150658,0.091065913
"Hong Kong S.A.R., China",5.472000122,1.551674843,0.943062425,0.490968645,0.374465793,0.293933749
Philippines,5.429999828,0.857699215,0.468009055,0.585214674,0.193513423,0.099331893
Serbia,5.394999981,1.069317579,0.650784671,0.208715528,0.220125884,0.040903781
Jordan,5.335999966,0.991012394,0.604590058,0.418421149,0.17217046,0.119803272
Hungary,5.323999882,1.286011934,0.687763453,0.175863519,0.078401662,0.036636937
Jamaica,5.31099987,0.925579309,0.641022384,0.474307239,0.233818337,0.055267781
Croatia,5.293000221,1.222556233,0.701288521,0.255772293,0.248002976,0.04310311
Kosovo,5.278999805,0.951484382,0.54145205,0.260287941,0.319931448,0.057471618
China,5.272999763,1.081165791,0.741415501,0.472787708,0.028806841,0.022794275
Pakistan,5.269000053,0.726883531,0.402047783,0.235215262,0.315446019,0.124348067
Indonesia,5.262000084,0.995538592,0.492345721,0.443323463,0.611704588,0.015317135
Venezuela,5.25,1.128431201,0.617144227,0.153997123,0.06501963,0.064491123
Montenegro,5.236999989,1.121129036,0.667464674,0.194989055,0.197911024,0.088174194
Morocco,5.235000134,0.878114581,0.597710669,0.408158332,0.032209955,0.087763183
Azerbaijan,5.234000206,1.153601766,0.540775776,0.398155838,0.04526934,0.180987507
Dominican Republic,5.230000019,1.079373837,0.574873745,0.552589834,0.18696785,0.113945253
Greece,5.227000237,1.289487481,0.810198903,0.095731251,0,0.043289777
Lebanon,5.224999905,1.074987531,0.735081077,0.288515985,0.264450759,0.03751383
Portugal,5.195000172,1.315175295,0.795843542,0.4984653,0.095102713,0.015869452
Bosnia and Herzegovina,5.18200016,0.982409418,0.705186307,0.204403177,0.328867495,0
Honduras,5.181000233,0.730573118,0.58256948,0.34807986,0.236188874,0.073345453
Macedonia,5.175000191,1.064577937,0.644948184,0.325905979,0.253760964,0.060277794
Somalia,5.151000023,0.022643184,0.113989137,0.602126956,0.291631311,0.282410324
Vietnam,5.073999882,0.788547575,0.652168989,0.571055591,0.234968051,0.087633237
Nigeria,5.073999882,0.783756256,0.05691573,0.394952565,0.230947196,0.026121566
Tajikistan,5.040999889,0.524713635,0.529235125,0.471566707,0.248997644,0.146377146
Bhutan,5.011000156,0.885416389,0.495879292,0.501537681,0.474054545,0.17338039
Kyrgyzstan,5.004000187,0.596220076,0.553457797,0.454943389,0.428580374,0.039439179
Nepal,4.961999893,0.479820192,0.504130781,0.440305948,0.394096166,0.072975546
Mongolia,4.954999924,1.027235866,0.557783484,0.394143969,0.33846423,0.032902289
South Africa,4.828999996,1.054698706,0.18708007,0.479246736,0.13936238,0.072509497
Tunisia,4.804999828,1.007265806,0.613212049,0.28968069,0.049693357,0.086723149
Palestinian Territories,4.775000095,0.716249228,0.565666974,0.254711062,0.114173174,0.089282602
Egypt,4.735000134,0.989701807,0.520187259,0.282110155,0.128631443,0.114381365
Bulgaria,4.714000225,1.161459088,0.70821768,0.289231718,0.113177694,0.011051531
Sierra Leone,4.709000111,0.368420929,0.005564754,0.318697691,0.293040901,0.071095176
Cameroon,4.695000172,0.564305365,0.132892117,0.430388749,0.236298457,0.051306631
Iran,4.691999912,1.156873107,0.639333189,0.249322608,0.387242913,0.048761073
Albania,4.644000053,0.996192753,0.731159747,0.381498635,0.201312944,0.039864216
Bangladesh,4.607999802,0.586682975,0.533241034,0.478356659,0.172255352,0.123717859
Namibia,4.573999882,0.964434326,0.338611811,0.520303547,0.077133745,0.093146972
Kenya,4.552999973,0.560479462,0.30998835,0.452763766,0.444860309,0.064641319
Mozambique,4.550000191,0.23430565,0.106654435,0.480791092,0.322228104,0.179436386
Myanmar,4.545000076,0.36711055,0.397522569,0.514492035,0.838075161,0.188816205
Senegal,4.534999847,0.479309022,0.409362853,0.377922267,0.183468893,0.115460448
Zambia,4.513999939,0.636406779,0.257835895,0.461603492,0.249580145,0.07821355
Iraq,4.497000217,1.102710485,0.50118047,0.288555533,0.199637264,0.107215755
Gabon,4.465000153,1.198210239,0.356578588,0.312328577,0.043785378,0.076046787
Ethiopia,4.460000038,0.339233845,0.353409708,0.408842742,0.31265074,0.165455714
Sri Lanka,4.440000057,1.009850144,0.625130832,0.561213255,0.490863562,0.073653966
Armenia,4.375999928,0.900596738,0.637524426,0.198303267,0.083488092,0.026674422
India,4.315000057,0.792221248,0.455427617,0.469987005,0.231538489,0.092226885
Mauritania,4.291999817,0.648457289,0.28534928,0.096098043,0.201870024,0.136957005
Congo (Brazzaville),4.290999889,0.808964252,0.289957434,0.435025871,0.120852128,0.079618134
Georgia,4.285999775,0.950612664,0.649546981,0.309410036,0.054008815,0.251666635
Congo (Kinshasa),4.28000021,0.092102349,0.191407025,0.235961348,0.246455833,0.060241356
Mali,4.190000057,0.476180494,0.169365674,0.306613743,0.183354199,0.104970247
Ivory Coast,4.179999828,0.603048921,0.04864217,0.447706193,0.20123747,0.130061775
Cambodia,4.168000221,0.601765096,0.429783404,0.633375823,0.385922968,0.068105951
Sudan,4.138999939,0.659516692,0.290920824,0.014995855,0.182317451,0.08984752
Ghana,4.119999886,0.667224824,0.295637727,0.423026294,0.256923944,0.02533637
Ukraine,4.096000195,0.894651949,0.575903952,0.122974776,0.270061463,0.023029471
Uganda,4.080999851,0.381430715,0.217632607,0.443185955,0.325766057,0.057069719
Burkina Faso,4.032000065,0.350227714,0.215844259,0.324367851,0.250864685,0.120328106
Niger,4.027999878,0.161925331,0.268505007,0.363658696,0.228673846,0.138572946
Malawi,3.970000029,0.233442038,0.315089583,0.466914654,0.28717047,0.072711654
Chad,3.936000109,0.438012987,0.041134715,0.162342027,0.21611385,0.053581882
Zimbabwe,3.875,0.375846535,0.196763754,0.336384207,0.189143494,0.095375381
Lesotho,3.808000088,0.521021247,0,0.390661299,0.157497272,0.11909464
Angola,3.795000076,0.85842818,0.049868666,0,0.09792649,0.069720335
Afghanistan,3.79399991,0.401477218,0.180746779,0.10617952,0.311870933,0.06115783
Botswana,3.766000032,1.122094154,0.341755509,0.505196333,0.099348448,0.098583199
Benin,3.657000065,0.431085408,0.209930211,0.425962776,0.207948461,0.060929015
Madagascar,3.644000053,0.305808693,0.375223309,0.189196765,0.20873253,0.067231975
Haiti,3.602999926,0.368610263,0.27732113,0.030369857,0.489203781,0.09987215
Yemen,3.592999935,0.591683447,0.310080916,0.249463722,0.104125209,0.056767423
South Sudan,3.59100008,0.397248626,0.163486004,0.147062436,0.285670817,0.116793513
Liberia,3.532999992,0.119041793,0.229918197,0.332881182,0.266549885,0.038948249
Guinea,3.506999969,0.24454993,0.194129139,0.348587513,0.264815092,0.110937618
Togo,3.494999886,0.305444717,0.247105569,0.380426139,0.196896151,0.095665015
Rwanda,3.470999956,0.368745893,0.326424807,0.581843853,0.252756029,0.455220014
Syria,3.461999893,0.777153134,0.500533342,0.081539445,0.493663728,0.151347131
Tanzania,3.348999977,0.511135876,0.364509284,0.390017778,0.354256362,0.066035107
Burundi,2.904999971,0.091622569,0.151610792,0.059900753,0.204435185,0.084147945
Central African Republic,2.693000078,0,0.018772686,0.270842046,0.280876487,0.056565076
